file	command	branch	stream	exit	bytes	sha256
entity.get.found.jsonl	entity.get	found	stdout	0	622	9027474f6a287ce7d1db2c66c929816d2f725e988704bba6cb92c8df8b819f6f
entity.get.local_error.jsonl	entity.get	local_error	stdout	2	145	d88b06cc8b7f3d02be1f9f7564d45baafe4a1a74cc8c3f37b57f1f814e7c82ee
entity.get.not_found.jsonl	entity.get	not_found	stdout	0	99	195c2316f07179364c00d2f848e6cc2aa7306c09c17d36d6f0970bf75027839d
entity.get.public_error.jsonl	entity.get	public_error	stdout	1	202	c23eece00c05f8dd3bdb6766d0cbab2735fd803ebadddab9f369dd0f749659b6
commit.show.found.jsonl	commit.show	found	stdout	0	1329	24f8319e3532738a3bc6b9875ed8662a54be794e5f3bea12b73c7169aaa1709f
commit.show.local_error.jsonl	commit.show	local_error	stdout	2	146	f91449eb00b80d468f1c8cb55fbdf2572760eb47dd485961424642efbcdf0682
commit.show.not_found.jsonl	commit.show	not_found	stdout	0	100	2771f48901e2716471daaf8fce6f469fe618eb2273b05c644d59e2ffa3f05015
commit.show.public_error.jsonl	commit.show	public_error	stdout	1	249	2677aba498e23322768f78302fc720be408ae0372617efe0c5f586329de2bb4a
projection.query.degraded_building.jsonl	projection.query	degraded_building	stdout	0	167	8b96941a007010de63185d5b6723e1a9b9826166b6707c9019bbec0f914038f2
projection.query.degraded_failure.jsonl	projection.query	degraded_failure	stdout	0	209	b73987a5e2a31fceef5f3fe8508f5065b00bc5f5e0b4fd62b61d3854f3434870
projection.query.degraded_rebuilding.jsonl	projection.query	degraded_rebuilding	stdout	0	188	9fe8a36440e47635fd32536406c7d7677cc3d340773d5ccc9383df05dd5ed54c
projection.query.invalid.jsonl	projection.query	invalid	stdout	0	141	ae6eddb8a9782be5460980a08c1dcd4bc21534bfb24c3b9089a3e470b7aaf85c
projection.query.local_error.jsonl	projection.query	local_error	stdout	2	151	e3c947fe5d580780f84711f9a9faf0bbf65e66d04c82c7523698b353335512af
projection.query.public_error.jsonl	projection.query	public_error	stdout	1	202	27c77c530b06c4b1c54d601225a61de0b23cc4b2f6c683434f5ae1b552e615f6
projection.query.ready_no_cursor.jsonl	projection.query	ready_no_cursor	stdout	0	669	5ca610a924df098532f3dc8b40b47a39ae551b885dd54bfcd983595549adf3a1
projection.query.ready_with_cursor.jsonl	projection.query	ready_with_cursor	stdout	0	464	cdb29f7fec25400e276d4e42c87bfa74031af38d459621d88a189442a35c391e
projection.query.wait_timed_out.jsonl	projection.query	wait_timed_out	stdout	0	188	9b65eb516700eb1dd75497b37731ea041aac8c0f6555f1da6c48a13e935d74ef
capability.bootstrap.bootstrap_conflict.jsonl	capability.bootstrap	bootstrap_conflict	stdout	0	118	04b23827c81b6bc695e357a002ee15e984aa38f70e4f1ca743ed6b2c3a6e4e76
capability.bootstrap.created.jsonl	capability.bootstrap	created	stdout	0	258	46d292cd3275acf49bfef8f3a77692b595b46cfa2b326fe332ffcb513ca358dc
capability.bootstrap.credential_invalid.jsonl	capability.bootstrap	credential_invalid	stdout	2	185	20905151d3e8ae9e496fe9518773975587b2a1c7605fcdbc78a962ec38b35c8f
capability.bootstrap.generation_failed.jsonl	capability.bootstrap	generation_failed	stdout	2	191	00c6dc64b0e38f2b7d1bc734062dd04dadafb89008546a9a23c2ae4a8c5bcc49
capability.bootstrap.local_error.jsonl	capability.bootstrap	local_error	stdout	2	180	d82065e1e65a26e64da9635aebf9f798132ee48c67ccfde5ea3f9d6669191cd1
capability.bootstrap.public_error.jsonl	capability.bootstrap	public_error	stdout	1	211	f1305215163eb1513c1a65157dd0aa82af2d4d9d5ebe10021710f200a929b23b
capability.bootstrap.replayed.jsonl	capability.bootstrap	replayed	stdout	0	260	fe1fc90ff46bfeaf5a067c77f56d480c176faebe5e53dde3bf8867e81e013630
capability.bootstrap.uncertain.jsonl	capability.bootstrap	uncertain	stdout	3	308	f55261b686273fabace6c9153b057646c7bf652fd5504385f07ea0e8e1a1300d
capability.create.already_created_token_unavailable.jsonl	capability.create	already_created_token_unavailable	stdout	0	213	13f0ee66fe20c31602841c465ed510135a303521d9a4835a97b7c63d4e6a88e2
capability.create.capability_id_conflict.jsonl	capability.create	capability_id_conflict	stdout	0	119	bddaddc72bc52984116d7a1406c75a82897f0e36d037a2f60261e7c804a8c282
capability.create.created.jsonl	capability.create	created	stdout	0	259	2eb87e376c6a92d2e7cc2f1058032e5d9244958e6d35c942ceb7011785c10ec8
capability.create.local_error.jsonl	capability.create	local_error	stdout	2	177	4f87813ba693c66ade32653c8e56d75cbcbcebd315b78f5cbc663de69f597026
capability.create.public_error.jsonl	capability.create	public_error	stdout	1	209	ab8d1c17b5c74706c1e45d2ace68758c7762d97b6c8f885992566e486ec7119a
capability.create.uncertain.jsonl	capability.create	uncertain	stdout	3	310	25e8ed27091dd5f150e6b6cba461939eba34203792e117abddd5fe57a6a0c753
capability.revoke.already_revoked.jsonl	capability.revoke	already_revoked	stdout	0	240	417369fbb92ac1ad2f98d6d8ce7a09f396ee925f0d51356646b8f4e3bf4ba711
capability.revoke.capability_not_found.jsonl	capability.revoke	capability_not_found	stdout	0	117	df91137de4ac9697d151ac210a913d99ad838a87dd20dd912fc4f53e1a934375
capability.revoke.local_error.jsonl	capability.revoke	local_error	stdout	2	152	0e113a1d1e626fc63f2540ad3a990812bfd1851beb0b826c456841294676372a
capability.revoke.public_error.jsonl	capability.revoke	public_error	stdout	1	209	49777e7cdac05c7a1704e346ff7325ce119e4d6e94c492609eaa513bd1bddd8f
capability.revoke.revoked.jsonl	capability.revoke	revoked	stdout	0	232	7b7c9e45de3c801db3c71ac723a8d0d5f041bc6861cc3db0809de3194f529376
server.health.cancelled.jsonl	server.health	cancelled	stdout	1	158	bfaa2ea295bcd15ba287435ba3b2597f0e4c0ac7df4c9238aa3dc77121444b28
server.health.client_error.jsonl	server.health	client_error	stdout	1	162	25c5e6a1e34a793d2440f42ec2b8e8e3452952a988360ca08d79a6ce9a059e21
server.health.connection_failed.jsonl	server.health	connection_failed	stdout	1	171	fa597206df328c06e48153078ebe33595b78a2987f717a0b903449d498981dbc
server.health.deadline.jsonl	server.health	deadline	stdout	1	168	52a4383670acfb9c9e9f13af502ab75a00a4d1dc8c8180eb9eca3fca37829713
server.health.degraded.jsonl	server.health	degraded	stdout	0	690	1d814dd26e24fe76dae792070f2d2926e97a8fc0cda5580bfa845543dc31c809
server.health.emergency_internal.jsonl	server.health	emergency_internal	stdout	1	162	bd20089cae610bc3767aff421dfa49499225b797497b851292284c25cf624611
server.health.identifier_generation_failed.jsonl	server.health	identifier_generation_failed	stdout	1	184	a40795f055da8fa2dad2fe7910a5261de7cfc923adb4a35977429e5d3b51001c
server.health.initializing_bootstrap.jsonl	server.health	initializing_bootstrap	stdout	0	177	d71f419c409a4805510ffdd0148368fe9d35b5d4b51e4efee0312d41e18cf8b8
server.health.initializing_validation.jsonl	server.health	initializing_validation	stdout	0	178	5cce951f2e393bd4cb24d1061542ef3f67513e8175959fec287a2aa7d36dcf96
server.health.local_error.jsonl	server.health	local_error	stdout	2	171	9e2949f294af046ab8f4fd3ec2b6d392f3767394830d5e587eeccc7c41e28e7d
server.health.not_ready.jsonl	server.health	not_ready	stdout	0	548	91c708a6cd65d48ee3b59639e68665049fa52702adabbbf766dfbd32ff112b8d
server.health.protocol_failure.jsonl	server.health	protocol_failure	stdout	1	194	278babf597fb5f5a7c52e4c50d385ca3792dae78e1db5d8a1a4662021a5479df
server.health.public_error.jsonl	server.health	public_error	stdout	1	205	bb60e8f2943b669f64e4241f5d68c0e6af837272d876dbd9c147d28970e329b3
server.health.ready.jsonl	server.health	ready	stdout	0	682	47e8155cc0efca6db0be5e6c461e50799dcd50d1daad92671881679ee0abb9b9
server.health.response_too_large.jsonl	server.health	response_too_large	stdout	1	172	8f089e49bc1a7ada259cef541b68248514818d294924d8b37f20499363f1f7fc
server.health.transport_unavailable.jsonl	server.health	transport_unavailable	stdout	1	174	0f2079295daca0fc23a1d5bfde30766da8ae5df0e0c8bd9f9186cb475ac5fd81
demo.budget.checked_failure.jsonl	demo.budget	checked_failure	stdout	1	182	c5c03e3bf29e5631aed3aa1a3bfd2e6277f2bde25420007034bda0a40423f917
demo.budget.contention.jsonl	demo.budget	contention	stdout	0	172	3c6409421256a42f801185eb4803870dbb485b8620ed056a5bb9c0d7a91eba53
demo.budget.requires_credential_file.jsonl	demo.budget	requires_credential_file	stdout	2	198	24e5ef81cf729c6b6b2ae9e162e9ae96efa44fcb8946c4839ec5268a4ba64a15
demo.budget.runner_invocation_invalid.jsonl	demo.budget	runner_invocation_invalid	stdout	2	183	d217bf774a408dc29fe563d8d1056da9d7d04d32ae1b41fbc2da0098ff3520a2
demo.budget.runner_protocol_invalid.jsonl	demo.budget	runner_protocol_invalid	stdout	2	193	1f02ce1092d166708693179e453217f7bb71559ba6d00899081a1e0706706d96
demo.budget.runner_start_failed.jsonl	demo.budget	runner_start_failed	stdout	2	174	84f515c36833d88c9faa18d5470bee0f096c8ad009969907afe82c4654880684
demo.budget.runner_timeout.jsonl	demo.budget	runner_timeout	stdout	2	158	a5db895efc1e2074d29bbd5d369b844c627ded7bf7a714fda703bb689b7fe7aa
demo.budget.same_key_replay.jsonl	demo.budget	same_key_replay	stdout	0	177	fc052dfd0f93737e3fddeaa0b580f19bd49b77e7444c5ecd8732d101d2b8f242
demo.budget.sequential.jsonl	demo.budget	sequential	stdout	0	172	d22c21585d1d067911509217b45df72a834a276372c4c092e931c9a3d857963d
demo.budget.stderr_too_large.jsonl	demo.budget	stderr_too_large	stdout	2	201	e77c595aa8ac659339507cbd4a04ca2aa227c461bc3c441298af1e1fb088ea27
demo.budget.stdout_too_large.jsonl	demo.budget	stdout_too_large	stdout	2	201	a8926d84a9f8e69e8c0c81662fb03ee55bc4d91f69d57430d712217d5f4af4fe
