riffdb-durable-wire-vectors-v1
records	26
riffdb.storage.v1.StoredExecutionFailedV1	0ac7020a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d611001	080112297269666664622e73746f726167652e76312e53746f726564457865637574696f6e4661696c656456311acc020ac7020a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d61100125957e69472a208f923b20dd66d4a50c607866be2d5b2eb046276271f94cfaabe6a83eb2ad4f88
riffdb.storage.v1.StoredOutcomeV1	0a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a20313131313131313131313131313131313131313131313131313131313131313110011a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a203232323232323232323232323232323232323232323232323232323232323232321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a040854100742203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3522408011220010d0000000200000001010300000000000000410000000201070000000241425a0c220a617070726f76616c2d61621014141414141474149414141414141414680372155001000000010000000b706172746974696f6e2d61	080112217269666664622e73746f726167652e76312e53746f7265644f7574636f6d6556311aa5030a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a20313131313131313131313131313131313131313131313131313131313131313110011a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a203232323232323232323232323232323232323232323232323232323232323232321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a040854100742203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3522408011220010d0000000200000001010300000000000000410000000201070000000241425a0c220a617070726f76616c2d61621014141414141474149414141414141414680372155001000000010000000b706172746974696f6e2d6125be119b262a20b8d972cbf614d3c30672100c7f7f9f21e0395f93c159067a479936990b1e18ba
riffdb.storage.v1.StoredDurableEventV1	0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0	080112267269666664622e73746f726167652e76312e53746f72656444757261626c654576656e7456311a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c025839183fd2a201d70b927ff7698b48afcbaa97dbb87e8135de5d39b5cf79b949eb4a5ace80574
riffdb.storage.v1.StoredOutboxIntentV1	0a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0	080112267269666664622e73746f726167652e76312e53746f7265644f7574626f78496e74656e7456311a4c0a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c025d862a7762a20ebc978e4ca6aa1065fdf85b0e9ea62c92abd0ea8fa1f3d772162b6550a845b46
riffdb.storage.v1.StoredProvenanceRecordV1	0a101414141414147414941414141414141410011a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a2031313131313131313131313131313131313131313131313131313131313131312210131313131313731393131313131313132a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222322032323232323232323232323232323232323232323232323232323232323232323a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d614204085410074a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3580162160a120801120e450100000001000000000000000710016a020801720c220a617070726f76616c2d61	0801122a7269666664622e73746f726167652e76312e53746f72656450726f76656e616e63655265636f726456311a84030a101414141414147414941414141414141410011a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a2031313131313131313131313131313131313131313131313131313131313131312210131313131313731393131313131313132a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222322032323232323232323232323232323232323232323232323232323232323232323a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d614204085410074a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3580162160a120801120e450100000001000000000000000710016a020801720c220a617070726f76616c2d6125863c4fd12a20c1dc1283a73e5d8b0b3e73b36a3804b2ed300100bf214d68e8aa084898a0b3d3
riffdb.storage.v1.StoredCommitRecordV1	08011210131313131313731393131313131313131a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222222032323232323232323232323232323232323232323232323232323232323232322a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613204085410073a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd34a1c0a1a0a180a120801120e450100000001000000000000000712020a0052740a020a00126e0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d0000000200000001010300000000000000420000000201070000000242435a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0622408011220010d0000000200000001010300000000000000410000000201070000000241426a1014141414141474149414141414141414720208017803	080112267269666664622e73746f726167652e76312e53746f726564436f6d6d69745265636f726456311af50308011210131313131313731393131313131313131a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222222032323232323232323232323232323232323232323232323232323232323232322a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613204085410073a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd34a1c0a1a0a180a120801120e450100000001000000000000000712020a0052740a020a00126e0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d0000000200000001010300000000000000420000000201070000000242435a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0622408011220010d0000000200000001010300000000000000410000000201070000000241426a10141414141414741494141414141414147202080178032508ffd2522a203dfb3d8b2c8ed17f242738a214b8596dbb7dc26eb6bc124f3c7c20480295efc6
riffdb.storage.v1.CapabilityRecordV1	0a101212121212127212921212121212121210011a26080110011a2061616161616161616161616161616161616161616161616161616161616161612210111111111111711191111111111111112a0474657374320f636f6465632d7072696e636970616c3801420b7269666664622d746573744a0508d00f1009520508c810100958016210131313131313731393131313131313136a81020a0a120874656e616e742d61122912270a250a0c636f6465632d73616d706c6512155001000000010000000b706172746974696f6e2d611aac010a0208010a0208020a120803120c636f6465632d73616d706c6518010a0208040a120805120c636f6465632d73616d706c6518010a120806120c636f6465632d73616d706c6518010a120807120c636f6465632d73616d706c6518010a120808120c636f6465632d73616d706c6518010a120809120c636f6465632d73616d706c6518010a02080a0a02080b0a02080c0a02080d0a02080e0a02080f0a0208100a0208110a0208120a02081322140a0c636f6465632d73616d706c6510011a020102286432010572020a00	080112247269666664622e73746f726167652e76312e4361706162696c6974795265636f726456311a9e030a101212121212127212921212121212121210011a26080110011a2061616161616161616161616161616161616161616161616161616161616161612210111111111111711191111111111111112a0474657374320f636f6465632d7072696e636970616c3801420b7269666664622d746573744a0508d00f1009520508c810100958016210131313131313731393131313131313136a81020a0a120874656e616e742d61122912270a250a0c636f6465632d73616d706c6512155001000000010000000b706172746974696f6e2d611aac010a0208010a0208020a120803120c636f6465632d73616d706c6518010a0208040a120805120c636f6465632d73616d706c6518010a120806120c636f6465632d73616d706c6518010a120807120c636f6465632d73616d706c6518010a120808120c636f6465632d73616d706c6518010a120809120c636f6465632d73616d706c6518010a02080a0a02080b0a02080c0a02080d0a02080e0a02080f0a0208100a0208110a0208120a02081322140a0c636f6465632d73616d706c6510011a020102286432010572020a00252573ad3a2a20cb42c4ebbce8280123f8b34d4dcde74ca9483406847531f34d5fb3f18d40b342
riffdb.storage.v1.CapabilityTokenLookupV1	0a1012121212121272129212121212121212	080112297269666664622e73746f726167652e76312e4361706162696c697479546f6b656e4c6f6f6b757056311a120a10121212121212721292121212121212122500d138262a20030365c46c464f2d020136be3eb8568f3cc1412ca4df37062899d0643211f400
riffdb.storage.v1.CapabilityBootstrapMarkerV1	0a10111111111111711191111111111111111210121212121212721292121212121212121801	0801122d7269666664622e73746f726167652e76312e4361706162696c697479426f6f7473747261704d61726b657256311a260a10111111111111711191111111111111111210121212121212721292121212121212121801256b7468622a20f00976588143fb23db54ed1a5a74d07860552239b7e80187b42d160cff647672
riffdb.storage.v1.CapabilityAdministrationAuditV1	08011210131313131313731393131313131313131802220508d00f10092a270a0f636f6465632d7072696e636970616c10011a10121212121212721292121212121212122001321012121212121272129212121212121212380142136361706162696c6974792d617070726f76616c	080112317269666664622e73746f726167652e76312e4361706162696c69747941646d696e697374726174696f6e417564697456311a6f08011210131313131313731393131313131313131802220508d00f10092a270a0f636f6465632d7072696e636970616c10011a10121212121212721292121212121212122001321012121212121272129212121212121212380142136361706162696c6974792d617070726f76616c25f419ec7b2a20e7851da86b3506c918bb06617723580ad581035fdaed888fc7d8933514abb85d
riffdb.storage.v1.ServiceAuditRecordV1	08011210131313131313731393131313131313131a0508a01f10032008280132270a0f636f6465632d7072696e636970616c10011a101212121212127212921212121212121220013801420e0a0c636f6465632d73616d706c65421212100a0c636f6465632d73616d706c65100142121a100a0c636f6465632d73616d706c651001421222100a0c636f6465632d73616d706c65100142122a100a0c636f6465632d73616d706c651001421232100a0c636f6465632d73616d706c65100142023801421242101414141414147414941414141414141442124a101212121212127212921212121212121252020a00	080112267269666664622e73746f726167652e76312e5365727669636541756469745265636f726456311aee0108011210131313131313731393131313131313131a0508a01f10032008280132270a0f636f6465632d7072696e636970616c10011a101212121212127212921212121212121220013801420e0a0c636f6465632d73616d706c65421212100a0c636f6465632d73616d706c65100142121a100a0c636f6465632d73616d706c651001421222100a0c636f6465632d73616d706c65100142122a100a0c636f6465632d73616d706c651001421232100a0c636f6465632d73616d706c65100142023801421242101414141414147414941414141414141442124a101212121212127212921212121212121252020a00258a2579412a20918418de3a3787811750547e6c4de202bd1fdd554fbf03411fc29daad0ea9f0b
riffdb.storage.v1.StoredOutboxStatusV1	0a020801122a0801120508f02e10041a0508ac2f1004220d64657374696e6174696f6e2d612a09726574727961626c65	080112267269666664622e73746f726167652e76312e53746f7265644f7574626f7853746174757356311a300a020801122a0801120508f02e10041a0508ac2f1004220d64657374696e6174696f6e2d612a09726574727961626c6525b2d407e22a209ca0b23ddd6bab42a358128d26b6a4db4edd1287fe5d4aab53894eeb5ec5e101
riffdb.storage.v1.StoredProjectionStateV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10011a0d01060000000767726f75702d612214010d0000000100000001010300000000000000032801	080112297269666664622e73746f726167652e76312e53746f72656450726f6a656374696f6e537461746556311a5c0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10011a0d01060000000767726f75702d612214010d0000000100000001010300000000000000032801257fe94a712a203897440250ec0b068d332c5f3f7604ec02c0ddc3060995a5b0ad6156cc9a46b5
riffdb.storage.v1.StoredProjectionApplyV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be1001180122207171717171717171717171717171717171717171717171717171717171717171	080112297269666664622e73746f726167652e76312e53746f72656450726f6a656374696f6e4170706c7956311a590a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be100118012220717171717171717171717171717171717171717171717171717171717171717125c3d5ff652a20484a6446b348ccb25ccd14a59a722d7649f7570180cdde7aee41d40b1d6259f6
riffdb.storage.v1.StoredProjectionControlV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10012206080112020a003001	0801122b7269666664622e73746f726167652e76312e53746f72656450726f6a656374696f6e436f6e74726f6c56311a3f0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10012206080112020a00300125ce607e592a203f5eadce258bb61d1148434f61958fc0df6429a4456a44e9db8b64d9cbf8779d
