riffdb-durable-wire-vectors-v2
records	26
riffdb.storage.v1.StoredPendingAdmissionV1	0a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d61	52444232020b00010000014770f879340a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d61
riffdb.storage.v1.StoredExecutionFailedV1	0ac7020a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d611001	52444232020c00010000014c47697e950ac7020a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a203131313131313131313131313131313131313131313131313131313131313131122032323232323232323232323232323232323232323232323232323232323232321a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a0408541007321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a155001000000010000000b706172746974696f6e2d61420c220a617070726f76616c2d611001
riffdb.storage.v1.StoredOutcomeV1	0a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a20313131313131313131313131313131313131313131313131313131313131313110011a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a203232323232323232323232323232323232323232323232323232323232323232321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a040854100742203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3522408011220010d0000000200000001010300000000000000410000000201070000000241425a0c220a617070726f76616c2d61621014141414141474149414141414141414680372155001000000010000000b706172746974696f6e2d61	52444232020d0001000001a5269b11be0a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a20313131313131313131313131313131313131313131313131313131313131313110011a101313131313137313931313131313131322560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a2022222222222222222222222222222222222222222222222222222222222222222a203232323232323232323232323232323232323232323232323232323232323232321f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613a040854100742203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3522408011220010d0000000200000001010300000000000000410000000201070000000241425a0c220a617070726f76616c2d61621014141414141474149414141414141414680372155001000000010000000b706172746974696f6e2d61
riffdb.storage.v1.StoredDurableEventV1	0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0	52444232020e00010000004afd8391830a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0
riffdb.storage.v1.StoredOutboxIntentV1	0a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0	52444232020f00010000004c76a762d80a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0
riffdb.storage.v1.StoredProvenanceRecordV1	0a101414141414147414941414141414141410011a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a2031313131313131313131313131313131313131313131313131313131313131312210131313131313731393131313131313132a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222322032323232323232323232323232323232323232323232323232323232323232323a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d614204085410074a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3580162160a120801120e450100000001000000000000000710016a020801720c220a617070726f76616c2d61	524442320210000100000184d14f3c860a101414141414147414941414141414141410011a6d0a10111111111111711191111111111111111204746573741a0a120874656e616e742d61220f636f6465632d7072696e636970616c2a0c636f6465632d73616d706c6530013a26080110011a2031313131313131313131313131313131313131313131313131313131313131312210131313131313731393131313131313132a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222322032323232323232323232323232323232323232323232323232323232323232323a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d614204085410074a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd3580162160a120801120e450100000001000000000000000710016a020801720c220a617070726f76616c2d61
riffdb.storage.v1.StoredCommitRecordV1	08011210131313131313731393131313131313131a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222222032323232323232323232323232323232323232323232323232323232323232322a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613204085410073a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd34a1c0a1a0a180a120801120e450100000001000000000000000712020a0052740a020a00126e0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d0000000200000001010300000000000000420000000201070000000242435a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0622408011220010d0000000200000001010300000000000000410000000201070000000241426a1014141414141474149414141414141414720208017803	5244423202110001000001f552d2ff0808011210131313131313731393131313131313131a560a0c636f6465632d73616d706c6510011a20212121212121212121212121212121212121212121212121212121212121212120012a202222222222222222222222222222222222222222222222222222222222222222222032323232323232323232323232323232323232323232323232323232323232322a1f0a0f636f6465632d7072696e636970616c10011a0a120874656e616e742d613204085410073a203f14c405611ff4709273a2558f39735e84455f9eb71e5c96471bd33bb584dcd34a1c0a1a0a180a120801120e450100000001000000000000000712020a0052740a020a00126e0a120801120e45010000000100000000000000071001180122320a0c636f6465632d73616d706c6510011a2021212121212121212121212121212121212121212121212121212121212121212a20010d0000000200000001010300000000000000420000000201070000000242435a4a0a02080110011a20010d000000020000000101030000000000000043000000020107000000024344222010747e23c1f4125d1a11c5ba92e149dbc3f7e483c4606579679ad6a97c0eb4c0622408011220010d0000000200000001010300000000000000410000000201070000000241426a1014141414141474149414141414141414720208017803
riffdb.storage.v1.CapabilityRecordV1	0a101212121212127212921212121212121210011a26080110011a2061616161616161616161616161616161616161616161616161616161616161612210111111111111711191111111111111112a0474657374320f636f6465632d7072696e636970616c3801420b7269666664622d746573744a0508d00f1009520508c810100958016210131313131313731393131313131313136a81020a0a120874656e616e742d61122912270a250a0c636f6465632d73616d706c6512155001000000010000000b706172746974696f6e2d611aac010a0208010a0208020a120803120c636f6465632d73616d706c6518010a0208040a120805120c636f6465632d73616d706c6518010a120806120c636f6465632d73616d706c6518010a120807120c636f6465632d73616d706c6518010a120808120c636f6465632d73616d706c6518010a120809120c636f6465632d73616d706c6518010a02080a0a02080b0a02080c0a02080d0a02080e0a02080f0a0208100a0208110a0208120a02081322140a0c636f6465632d73616d706c6510011a020102286432010572020a00	52444232021200020000019e3aad73250a101212121212127212921212121212121210011a26080110011a2061616161616161616161616161616161616161616161616161616161616161612210111111111111711191111111111111112a0474657374320f636f6465632d7072696e636970616c3801420b7269666664622d746573744a0508d00f1009520508c810100958016210131313131313731393131313131313136a81020a0a120874656e616e742d61122912270a250a0c636f6465632d73616d706c6512155001000000010000000b706172746974696f6e2d611aac010a0208010a0208020a120803120c636f6465632d73616d706c6518010a0208040a120805120c636f6465632d73616d706c6518010a120806120c636f6465632d73616d706c6518010a120807120c636f6465632d73616d706c6518010a120808120c636f6465632d73616d706c6518010a120809120c636f6465632d73616d706c6518010a02080a0a02080b0a02080c0a02080d0a02080e0a02080f0a0208100a0208110a0208120a02081322140a0c636f6465632d73616d706c6510011a020102286432010572020a00
riffdb.storage.v1.CapabilityTokenLookupV1	0a1012121212121272129212121212121212	5244423202130001000000122638d1000a1012121212121272129212121212121212
riffdb.storage.v1.CapabilityBootstrapMarkerV1	0a10111111111111711191111111111111111210121212121212721292121212121212121801	5244423202140001000000266268746b0a10111111111111711191111111111111111210121212121212721292121212121212121801
riffdb.storage.v1.CapabilityAdministrationAuditV1	08011210131313131313731393131313131313131802220508d00f10092a270a0f636f6465632d7072696e636970616c10011a10121212121212721292121212121212122001321012121212121272129212121212121212380142136361706162696c6974792d617070726f76616c	52444232021500010000006f7bec19f408011210131313131313731393131313131313131802220508d00f10092a270a0f636f6465632d7072696e636970616c10011a10121212121212721292121212121212122001321012121212121272129212121212121212380142136361706162696c6974792d617070726f76616c
riffdb.storage.v1.ServiceAuditRecordV1	08011210131313131313731393131313131313131a0508a01f10032008280132270a0f636f6465632d7072696e636970616c10011a101212121212127212921212121212121220013801420e0a0c636f6465632d73616d706c65421212100a0c636f6465632d73616d706c65100142121a100a0c636f6465632d73616d706c651001421222100a0c636f6465632d73616d706c65100142122a100a0c636f6465632d73616d706c651001421232100a0c636f6465632d73616d706c65100142023801421242101414141414147414941414141414141442124a101212121212127212921212121212121252020a00	5244423202160001000000ee4179258a08011210131313131313731393131313131313131a0508a01f10032008280132270a0f636f6465632d7072696e636970616c10011a101212121212127212921212121212121220013801420e0a0c636f6465632d73616d706c65421212100a0c636f6465632d73616d706c65100142121a100a0c636f6465632d73616d706c651001421222100a0c636f6465632d73616d706c65100142122a100a0c636f6465632d73616d706c651001421232100a0c636f6465632d73616d706c65100142023801421242101414141414147414941414141414141442124a101212121212127212921212121212121252020a00
riffdb.storage.v1.StoredOutboxStatusV1	0a020801122a0801120508f02e10041a0508ac2f1004220d64657374696e6174696f6e2d612a09726574727961626c65	524442320217000100000030e207d4b20a020801122a0801120508f02e10041a0508ac2f1004220d64657374696e6174696f6e2d612a09726574727961626c65
riffdb.storage.v1.StoredProjectionStateV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10011a0d01060000000767726f75702d612214010d0000000100000001010300000000000000032801	52444232021800010000005c714ae97f0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10011a0d01060000000767726f75702d612214010d0000000100000001010300000000000000032801
riffdb.storage.v1.StoredProjectionApplyV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be1001180122207171717171717171717171717171717171717171717171717171717171717171	52444232021900010000005965ffd5c30a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be1001180122207171717171717171717171717171717171717171717171717171717171717171
riffdb.storage.v1.StoredProjectionControlV1	0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10012206080112020a003001	52444232021a00010000003f597e60ce0a310a0b436f64656353616d706c6510011a20d5b7ef6b94766c945b424dec8aefa4dd0758e9a495edd6f4aa4f69236e68a1be10012206080112020a003001
